time_of_day,day_of_week,weather_score,surge_multiplier,supply,demand
11.0,5.0,-0.9167400907409733,2.1442517848762885,152.45314255042433,93.70682708202756
12.0,0.0,0.46670907024810915,1.0626030794417516,143.67888493649818,142.5672197010866
18.0,0.0,-0.8202633764080776,1.2905911222973159,123.83815429258692,141.01549579632422
22.0,3.0,-0.7822763365186804,2.64874090668762,158.24166289034483,61.46351155383499
0.0,0.0,0.2743389190124841,1.6761532519535605,155.92599530064763,122.19365039829218
3.0,1.0,0.6919649024588956,2.3697453850632195,183.76136344360762,99.01400165338211
19.0,5.0,-0.4842636652779575,1.6747135061870895,148.71240914923177,134.8369875097062
22.0,6.0,0.01238220615315,1.1510489621245714,136.13551364480344,144.73253246277324
5.0,0.0,0.533346102993866,1.3321912560937252,146.02405586956817,149.33303946451852
7.0,6.0,-0.6299382294815379,1.05396164345433,136.09645641229628,148.15609896362486
20.0,6.0,-0.1754109885547941,1.7695143587059676,172.7634884450455,109.88330914851207
10.0,5.0,0.18581745779150927,1.3922862471089141,150.1935341158065,133.73481367411773
6.0,1.0,0.5747897937503126,2.5737241286145487,182.97113922649308,91.012204288582
19.0,6.0,0.14686184752461195,1.1068832614968362,142.7118185947521,165.0281204376738
6.0,0.0,-0.7077710686714913,2.4301700699780957,179.05011756888413,102.10257637161277
9.0,2.0,0.6609362987376686,2.342855939625928,182.5967055372897,99.24158132175997
15.0,4.0,0.6222030914696699,1.9829566776228136,159.34639544884928,128.45455723129768
13.0,0.0,0.4458502696189577,1.9440997216283853,160.3179655747019,111.42044039513145
2.0,0.0,0.4659947964337239,1.3621086805679992,144.46079702025278,128.98796376002468
0.0,4.0,-0.08848699432839346,1.658554865310974,143.888827077295,108.14710412624368
20.0,6.0,0.3004731896798343,2.5547509422167898,186.58610587006632,96.60857512963172
18.0,1.0,0.997467139836663,1.3869348809267013,152.94864913476002,172.1563677094091
20.0,1.0,0.9497362329376178,2.248744306021953,171.08766179080982,124.68616696538386
12.0,4.0,-0.6271031928316055,2.4936046443557007,173.15156585781693,77.25154281307614
19.0,3.0,0.2748211725772023,2.8601964735549785,187.01891072584712,89.59740151604574
7.0,0.0,0.7350742380191282,1.0970669579657097,144.32100766403306,153.1567775783722
10.0,5.0,-0.8797372747893597,2.0800993713957983,171.78588991513746,93.3383671662022
